Annee;Description
1988;"En 1988 : Madame Ripouette : Mise en scène Christian Godrie
Autrice : Pascale Bonardeaux en coproduction avec l’Ecole Buissonnière, sélectionnée aux Rencontres de Théâtre Jeune Public à Huy en 1988 (tournée en Espagne, Belgique, France et Suisse).
Comédien-ne : Vincent Lagasse et Pascale Bonardeaux"
1990;"En 1990 : Une deuxième création en coproduction : Symphonie en Ut  (mise en scène Christian Godrie).
Comédiens-ne : Vincent Lagasse, Pascale Bonardeaux et Nicolas Quaglia"
1992;"De 1992 à 1995, création collective : Moi,je
Récompensé par deux prix du public en Belgique néerlandophone (Festival Humorologie (Marke) et le Festival d’humour Houthalen).
Tournée organisée par l’agence Bis Produkties (Antwerpen)Comédien-ne : Vincent Lagasse et Pascale Bonardeaux"
1993;En 1993 : Jo le Camelot (auteur-comédien Vincent Lagasse)
1995;"En 1995 : Le conte de la forêt noire  (auteur Vincent Lagasse)
Comédien-ne : Vincent Lagasse et Pascale Bonardeaux"
1996;"En 1996 : Le Chaudron magique (auteur Vincent Lagasse)
Comédien-ne : Vincent Lagasse et Pascale Bonardeaux"
1996;"En 1996 : Une première expérience en rue : Les Eboueurs en coproduction avec Elastic .
Comédiens-ne : Vincent Lagasse, Pascale Bonardeaux et Stéphane Delvaux"
1996;En 1996 : Participation au  Festival de rue (coorganisateur) Bitume  alliant plusieurs troupes de théâtre et animation- guinguette.
1997;"En 1997 : Robert de Perçonval  (auteur Vincent Lagasse)
Comédien-ne : Vincent Lagasse et Pascale Bonardeaux"
1997;"En 1997-98 Une création collective pour la rue : animation déambulatoire Agathe et Léopold .
Tournée en Belgique, Pays-Bas, Luxembourg, Allemagne, France et pays outre-mer française.
Comédien-ne : Vincent Lagasse et Pascale Bonardeaux"
1998;"En 1998 : Création d’un concept animation-rue avec la compagnie Tubapiston (F) : Clap-Mobil  pour l’inauguration d’un Festival à Laon (F).
Comédiens-ne : Vincent Lagasse , Pascale Bonardeaux, Philippe Lalire, David Jonquières et Didier Cazor"
1998;En 1998 : L’Opéra fatal  (auteur- comédien Vincent Lagasse)
1999;"En 1999 : Whitechapel (auteur Vincent Lagasse)
Comédien-ne : Vincent Lagasse et Pascale Bonardeaux"
1999;"De 1999 à 2007 :Création d’un spectacle fixe à cinq comédiens pour la rue en coproduction avec la cie Tubapiston : Beach omaha Beach.
Comédiens-ne : Vincent Lagasse , Pascale Bonardeaux, Philippe Lalire, David Jonquières et Didier Cazor
Tournée en Belgique, France (+ région outre-mer) et Suisse."
2000;"En 2000, présentation de L’étrange salon aux Rencontres de Théâtre Jeune Public à Huy. Mise en scène Christian Godrie (auteur Vincent Lagasse)
Tournée en France, Belgique et Allemagne."
2002;"En 2002 : création d’une nouvelle Déambulation pour la rue : L’Ebadiscaphe.
Tournée France, Pays-Bas, Espagne, Luxembourg, îles anglo-saxonnes, Belgique et Angleterre.
Comédien-ne : Vincent Lagasse et Pascale Bonardeaux"
2003;"En 2003 : L’Étrange salon est traduit en Allemand et racheté par le Theater Stück Verlag de Munich (München). Das Hessische landestheater joue Das Verrückte wohnzimmer (l’étrange salon) en 2006. Toujours joué en Allemagne (2006, 2012, 2015,2020, 2024).
Comédien-ne : Vincent Lagasse et Pascale Bonardeaux"
2003;"En 2003 : Les Sœurs Tonic en co-production avec la Cie des chemins de terre - mise en scène Francy Begasse (tournée France et Belgique).
Comédiennes : Joëlle Waterkeyn, Geneviève Cabodi et Pascale Bonardeaux"
2006;"En 2006,  nouvelle création : The Great Lucie – mise en scène Françy Begasse.
Comédien-ne : Vincent Lagasse et Pascale Bonardeaux"
2006;"Depuis 2006-2017 : création d’un Atelier – Théâtre pour adolescents (« Poison » ; « Runawaytrain » et « Fatal Week-end » et de cet atelier a découlé une autre création d’animation déambulatoire pour la rue par deux élève de cet atelier pour ados (« les Chevaliers du Graal »)."
2007;"En 2007 : création d’une nouvelle déambulation : Funeral Wedding  création  collective
Tournée en 2008 : France, Belgique, Luxembourg et Pays-Bas
Comédien-ne : Vincent Lagasse et Pascale Bonardeaux"
2010;"En 2010 : nouvelle création d’un spectacle de rue : Ice Cream Dream  - mise en scène Joanna Bassi
Comédien-ne : Vincent Lagasse et Pascale Bonardeaux"
2012;"En 2012: nouvelle création : Le Sablioscope et Les Horlogers du Temps (Mise en scène Francy Begasse – auteur Vincent Lagasse)
Tournée en 2012-2013-2014 en version rue et en version salle : France, Belgique, Allemagne, Angleterre.
Comédien-ne : Vincent Lagasse et Pascale Bonardeaux "
2013;Fin 2013 : création du spectacle « jeune public » : Arthur (auteur-comédien Vincent Lagasse)   Tournée en 2013-2014
2014;"En 2014 : création du spectacle de rue :  Aqualidon  (auteur Vincent Lagasse)
Comédien-ne : Vincent Lagasse et Pascale Bonardeaux"
2016;"En 2016 : création du spectacle de rue : Cup of tea (Direction acting-Gordon Wilson)
Comédien-ne : Vincent Lagasse et Pascale Bonardeaux"
2016;"En 2016 : création spectacle rue/salle : O&Co (mise en scène Francy Begasse)
Comédiennes : Geneviève Cabodi et Pascale Bonardeaux"
2017;En 2017 : création spectacle pour jeune public : Mister Dewitt (auteur-comédien Vincent Lagasse)
2019;"En 2019 : création déambulatoire : Reborn (auteur Vincent Lagasse)
Comédien-ne : Vincent Lagasse et Pascale Bonardeaux"
2020;"En 2020 : création pour jeune public : Machinarium (auteur Vincent Lagasse)
Comédien-ne : Vincent Lagasse et Pascale Bonardeaux"
2020;En 2020 : création pour les maternelles : Sam la petite hérissonne (Autrice-comédienne Pascale Bonardeaux et mise en scène Francy Begasse)
2022;En 2022 : création jeune public (primaire) : Naufrage d’un géant (auteur – comédien Vincent Lagasse)
2023;"En 2023 : création jeune public (maternelle) : Le potager d’Augustine (mise en scène Francy Begasse – scénario Vincent Lagasse)
Comédien-ne : Vincent Lagasse et Pascale Bonardeaux"
2026;"En 2026 : nouvelle création « Ar’men » : spectacle tout public (auteur Vincent Lagasse)
Comédien-ne : Vincent Lagasse et Pascale Bonardeaux"
